state,lat,lon,votes,biden_votes,trump_votes,population_over18,biden_proportion,trump_proportion,winner,,candidate,electoral_college_total
Alabama,32.318231,-86.902298,9,849648,1441168,"3,814,879",0.222719515,0.377775547,Trump,,Biden,306
Alaska,63.588753,-154.493062,3,153405,189892,"551,562",0.278128297,0.344280425,Trump,,Trump,232
Arizona,34.048928,-111.093731,11,1672143,1661686,"5,638,481",0.296559126,0.294704549,Biden,,,
Arkansas,35.20105,-91.831833,6,423932,760647,"2,317,649",0.182914669,0.328197669,Trump,,,
California,36.778261,-119.417932,54,11109764,6005961,"30,617,582",0.362855695,0.196160526,Biden,,,
Colorado,39.550051,-105.782067,10,1804352,1364607,"4,499,217",0.401036892,0.303298774,Biden,,,
Connecticut,41.603221,-73.087749,7,1080680,715291,"2,837,847",0.380809818,0.25205411,Biden,,,
Delaware,38.910832,-75.52767,3,296268,200603,"770,192",0.384667719,0.260458431,Biden,,,
District of Columbia,38.905985,-77.033418,3,317323,18586,"577,581",0.549399998,0.032179036,Biden,,,
Florida,27.664827,-81.515754,30,5297045,5668731,"17,247,808",0.307114098,0.328663851,Trump,,,
Georgia,32.157435,-82.907123,16,2473633,2461854,"8,113,542",0.304877081,0.30342531,Biden,,,
Hawaii,19.898682,-155.665857,4,366130,196864,"1,116,004",0.328072301,0.176400801,Biden,,,
Idaho,44.068202,-114.742041,4,287021,554119,"1,338,864",0.214376516,0.413872507,Trump,,,
Illinois,40.633125,-89.398528,19,4253153,2823926,"9,853,946",0.431619272,0.286578189,Biden,,,
Indiana,40.551217,-85.602364,11,1242495,1729852,"5,164,245",0.240595673,0.334967067,Trump,,,
Iowa,41.878003,-93.097702,6,759061,897672,"2,428,229",0.312598606,0.369681772,Trump,,,
Kansas,39.011902,-98.484246,6,558669,758100,"2,213,064",0.252441412,0.342556745,Trump,,,
Kentucky,37.839333,-84.270018,8,772474,1326646,"3,464,802",0.222948959,0.382892298,Trump,,,
Louisiana,31.244823,-92.145024,8,856034,1255776,"3,561,164",0.240380392,0.352630769,Trump,,,
Maine,45.253783,-69.445469,4,430473,359899,"1,095,370",0.392993235,0.328563864,Biden,,,
Maryland,39.045755,-76.641271,10,1985023,976414,"4,710,993",0.421359786,0.207262885,Biden,,,
Massachusetts,42.407211,-71.382437,11,2382202,1167202,"5,539,703",0.430023415,0.210697577,Biden,,,
Michigan,44.314844,-85.602364,15,2804040,2649852,"7,842,924",0.357524821,0.337865317,Biden,,,
Minnesota,46.729553,-94.6859,10,1717077,1484065,"4,336,475",0.395961466,0.342228423,Biden,,,
Mississippi,32.354668,-89.398528,6,539398,756764,"2,277,566",0.236830898,0.332268747,Trump,,,
Missouri,37.964253,-91.831833,10,1253014,1718736,"4,766,843",0.262860346,0.360560648,Trump,,,
Montana,46.879682,-110.362566,4,244786,343602,"840,190",0.291346005,0.408957498,Trump,,,
Nebraska,41.492537,-99.901813,5,374583,556846,"1,458,334",0.256856797,0.381837083,Trump,,,
Nevada,38.80261,-116.419389,6,703486,669890,"2,387,517",0.294651724,0.280580201,Biden,,,
New Hampshire,43.193852,-71.572395,4,424921,365654,"1,104,458",0.384732602,0.331070987,Biden,,,
New Jersey,40.058324,-74.405661,14,2608335,1883274,"6,943,612",0.375645269,0.271223968,Biden,,,
New Mexico,34.97273,-105.032363,5,501614,401894,"1,620,991",0.309448973,0.24793105,Biden,,,
New York,43.299428,-74.217933,28,5244006,3250230,"15,425,262",0.3399622,0.210708252,Biden,,,
North Carolina,35.759573,-79.0193,16,2684292,2758773,"8,187,369",0.327857704,0.336954765,Trump,,,
North Dakota,47.551493,-101.002012,3,114902,235595,"581,891",0.197463099,0.404878233,Trump,,,
Ohio,40.417287,-82.907123,17,2679165,3154834,"9,111,081",0.294055667,0.346263413,Trump,,,
Oklahoma,35.007752,-97.092877,7,503890,1020280,"3,004,733",0.167698761,0.339557625,Trump,,,
Oregon,43.804133,-120.554201,8,1340383,958448,"3,351,175",0.399974039,0.286003566,Biden,,,
Pennsylvania,41.203322,-77.194525,19,3459923,3378263,"10,167,376",0.340296552,0.332264982,Biden,,,
Rhode Island,41.580095,-71.477429,4,306210,199837,"854,866",0.358196489,0.233764122,Biden,,,
South Carolina,33.836081,-81.163725,9,1091541,1385103,"4,037,531",0.270348636,0.343056933,Trump,,,
South Dakota,43.969515,-99.901813,3,150471,261043,"667,558",0.225405133,0.391041677,Trump,,,
Tennessee,35.517491,-86.580447,11,1143913,1852948,"5,319,123",0.215056693,0.348355923,Trump,,,
Texas,31.968599,-99.901813,40,5259126,5890347,"21,596,071",0.243522352,0.272750863,Trump,,,
Utah,39.32098,-111.093731,6,560282,865140,"2,274,774",0.24630227,0.3803191,Trump,,,
Vermont,44.558803,-72.577841,3,242820,112704,"509,984",0.476132585,0.220995168,Biden,,,
Virginia,37.431573,-78.656894,13,2413568,1962430,"6,674,671",0.361601044,0.294011495,Biden,,,
Washington,47.751074,-120.740139,12,2369612,1584651,"5,951,832",0.398131533,0.266245922,Biden,,,
West Virginia,43.78444,-88.787868,4,235984,545382,"1,432,580",0.164726577,0.380699158,Trump,,,
Wisconsin,38.597626,-80.454903,10,1630673,1610065,"4,555,837",0.357930497,0.353407069,Biden,,,
Wyoming,43.075968,-107.290284,3,73491,193559,"445,025",0.165139037,0.43493961,Trump,,,
