state,lat,lon,votes,biden_votes,trump_votes,population,biden_per_50000,trump_per_50000,population_per_50000,winner
Alabama,32.318231,-86.902298,9,849648,1441168,3814879,16.99,28.82,45.81,Trump
Alaska,63.588753,-154.493062,3,153405,189892,551562,3.07,3.8,6.87,Trump
Arizona,34.048928,-111.093731,11,1672143,1661686,5638481,33.44,33.23,66.67,Biden
Arkansas,35.20105,-91.831833,6,423932,760647,2317649,8.48,15.21,23.69,Trump
California,36.778261,-119.417932,54,11109764,6005961,30617582,222.2,120.12,342.32,Biden
Colorado,39.550051,-105.782067,10,1804352,1364607,4499217,36.09,27.29,63.38,Biden
Connecticut,41.603221,-73.087749,7,1080680,715291,2837847,21.61,14.31,35.92,Biden
Delaware,38.910832,-75.52767,3,296268,200603,770192,5.93,4.01,9.94,Biden
District of Columbia,38.905985,-77.033418,3,317323,18586,577581,6.35,0.37,6.72,Biden
Florida,27.664827,-81.515754,30,5297045,5668731,17247808,105.94,113.37,219.31,Trump
Georgia,32.157435,-82.907123,16,2473633,2461854,8113542,49.47,49.24,98.71,Biden
Hawaii,19.898682,-155.665857,4,366130,196864,1116004,7.32,3.94,11.26,Biden
Idaho,44.068202,-114.742041,4,287021,554119,1338864,5.74,11.08,16.82,Trump
Illinois,40.633125,-89.398528,19,4253153,2823926,9853946,85.06,56.48,141.54,Biden
Indiana,40.551217,-85.602364,11,1242495,1729852,5164245,24.85,34.6,59.45,Trump
Iowa,41.878003,-93.097702,6,759061,897672,2428229,15.18,17.95,33.13,Trump
Kansas,39.011902,-98.484246,6,558669,758100,2213064,11.17,15.16,26.33,Trump
Kentucky,37.839333,-84.270018,8,772474,1326646,3464802,15.45,26.53,41.98,Trump
Louisiana,31.244823,-92.145024,8,856034,1255776,3561164,17.12,25.12,42.24,Trump
Maine,45.253783,-69.445469,4,430473,359899,1095370,8.61,7.2,15.81,Biden
Maryland,39.045755,-76.641271,10,1985023,976414,4710993,39.7,19.53,59.23,Biden
Massachusetts,42.407211,-71.382437,11,2382202,1167202,5539703,47.64,23.34,70.98,Biden
Michigan,44.314844,-85.602364,15,2804040,2649852,7842924,56.08,53,109.08,Biden
Minnesota,46.729553,-94.6859,10,1717077,1484065,4336475,34.34,29.68,64.02,Biden
Mississippi,32.354668,-89.398528,6,539398,756764,2277566,10.79,15.14,25.93,Trump
Missouri,37.964253,-91.831833,10,1253014,1718736,4766843,25.06,34.37,59.43,Trump
Montana,46.879682,-110.362566,4,244786,343602,840190,4.9,6.87,11.77,Trump
Nebraska,41.492537,-99.901813,5,374583,556846,1458334,7.49,11.14,18.63,Trump
Nevada,38.80261,-116.419389,6,703486,669890,2387517,14.07,13.4,27.47,Biden
New Hampshire,43.193852,-71.572395,4,424921,365654,1104458,8.5,7.31,15.81,Biden
New Jersey,40.058324,-74.405661,14,2608335,1883274,6943612,52.17,37.67,89.84,Biden
New Mexico,34.97273,-105.032363,5,501614,401894,1620991,10.03,8.04,18.07,Biden
New York,43.299428,-74.217933,28,5244006,3250230,15425262,104.88,65,169.88,Biden
North Carolina,35.759573,-79.0193,16,2684292,2758773,8187369,53.69,55.18,108.87,Trump
North Dakota,47.551493,-101.002012,3,114902,235595,581891,2.3,4.71,7.01,Trump
Ohio,40.417287,-82.907123,17,2679165,3154834,9111081,53.58,63.1,116.68,Trump
Oklahoma,35.007752,-97.092877,7,503890,1020280,3004733,10.08,20.41,30.49,Trump
Oregon,43.804133,-120.554201,8,1340383,958448,3351175,26.81,19.17,45.98,Biden
Pennsylvania,41.203322,-77.194525,19,3459923,3378263,10167376,69.2,67.57,136.77,Biden
Rhode Island,41.580095,-71.477429,4,306210,199837,854866,6.12,4,10.12,Biden
South Carolina,33.836081,-81.163725,9,1091541,1385103,4037531,21.83,27.7,49.53,Trump
South Dakota,43.969515,-99.901813,3,150471,261043,667558,3.01,5.22,8.23,Trump
Tennessee,35.517491,-86.580447,11,1143913,1852948,5319123,22.88,37.06,59.94,Trump
Texas,31.968599,-99.901813,40,5259126,5890347,21596071,105.18,117.81,222.99,Trump
Utah,39.32098,-111.093731,6,560282,865140,2274774,11.21,17.3,28.51,Trump
Vermont,44.558803,-72.577841,3,242820,112704,509984,4.86,2.25,7.11,Biden
Virginia,37.431573,-78.656894,13,2413568,1962430,6674671,48.27,39.25,87.52,Biden
Washington,47.751074,-120.740139,12,2369612,1584651,5951832,47.39,31.69,79.08,Biden
West Virginia,43.78444,-88.787868,4,235984,545382,1432580,4.72,10.91,15.63,Trump
Wisconsin,38.597626,-80.454903,10,1630673,1610065,4555837,32.61,32.2,64.81,Biden
Wyoming,43.075968,-107.290284,3,73491,193559,445025,1.47,3.87,5.34,Trump
