state,county,biden_votes,trump_votes,other_votes,winner
Delaware,Kent,44552,41009,1464,Biden
Delaware,New Castle,195034,88364,4235,Trump
Delaware,Sussex,56682,71230,1440,Trump
District of Columbia,District of Columbia,39041,1725,915,Biden
District of Columbia,Ward 2,29078,2918,885,Trump
District of Columbia,Ward 3,39397,3705,1129,Biden
District of Columbia,Ward 4,42489,1913,894,Biden
District of Columbia,Ward 5,43320,1769,1018,Biden
District of Columbia,Ward 6,56719,4337,1862,Biden
District of Columbia,Ward 7,36382,1134,868,Biden
District of Columbia,Ward 8,30897,1085,876,Biden
Florida,Alachua,89704,50972,1928,Biden
Florida,Baker,2037,11911,111,Biden
Florida,Bay,25614,66097,1313,Trump
Florida,Bradford,3160,10334,138,Biden
Florida,Brevard,148549,207883,4332,Trump
Florida,Broward,618752,333409,5511,Biden
Florida,Calhoun,1209,5274,43,Trump
Florida,Charlotte,42273,73243,824,Trump
Florida,Citrus,27092,65352,764,Trump
Florida,Clay,38317,84480,1608,Trump
Florida,Collier,77621,128950,1247,Biden
Florida,Columbia,8914,23836,292,Biden
Florida,DeSoto,4259,8313,87,Trump
Florida,Dixie,1365,6759,43,Trump
Florida,Duval,252556,233762,6502,Biden
Florida,Escambia,70929,96674,2769,Trump
Florida,Flagler,28161,43043,512,Trump
Florida,Franklin,2120,4675,54,Trump
Florida,Gadsden,16153,7465,144,Trump
Florida,Gilchrist,1700,7895,90,Trump
Florida,Glades,1385,3782,26,Trump
Florida,Gulf,1985,6113,65,Trump
Florida,Hamilton,1963,3815,52,Trump
Florida,Hardee,2298,6122,65,Trump
Florida,Hendry,4929,7906,105,Trump
Florida,Hernando,37519,70412,991,Trump
Florida,Highlands,16938,34873,359,Trump
Florida,Hillsborough,376367,327398,8298,Biden
Florida,Holmes,924,8080,64,Biden
Florida,Indian River,37844,58872,768,Trump
Florida,Jackson,6766,15488,165,Biden
Florida,Jefferson,3897,4479,75,Trump
Florida,Lafayette,510,3128,20,Biden
Florida,Lake,83505,125859,1950,Biden
Florida,Lee,157695,233247,2957,Trump
Florida,Leon,103517,57453,1959,Trump
Florida,Levy,6205,16749,191,Biden
Florida,Liberty,694,2846,21,Biden
Florida,Madison,3747,5576,57,Trump
Florida,Manatee,90166,124987,1805,Biden
Florida,Marion,74858,127826,1692,Biden
Florida,Martin,36893,61168,665,Trump
Florida,Miami-Dade,617864,532833,6119,Biden
Florida,Monroe,21881,25693,455,Trump
Florida,Nassau,15564,42566,681,Trump
Florida,Okaloosa,34248,79798,2327,Trump
Florida,Okeechobee,4390,11470,94,Biden
Florida,Orange,395014,245398,6991,Biden
Florida,Osceola,97297,73480,1659,Biden
Florida,Palm Beach,433572,334711,4875,Biden
Florida,Pasco,119073,179621,3276,Trump
Florida,Pinellas,277450,276209,6056,Biden
Florida,Polk,145049,194586,3621,Trump
Florida,Putnam,10527,25514,332,Trump
Florida,St. Johns,63850,110946,1826,Biden
Florida,St. Lucie,84137,86831,1201,Trump
Florida,Santa Rosa,27612,77385,1931,Trump
Florida,Sarasota,120110,148370,2095,Trump
Florida,Seminole,132528,125241,3046,Biden
Florida,Sumter,29341,62761,383,Trump
Florida,Suwannee,4485,16410,162,Biden
Florida,Taylor,2299,7751,77,Trump
Florida,Union,1053,5133,59,Trump
Florida,Volusia,130575,173821,3043,Trump
Florida,Wakulla,5351,12874,179,Biden
Florida,Walton,10338,32947,426,Trump
Florida,Washington,2347,9876,104,Trump
Georgia,Appling,1784,6570,36,Trump
Georgia,Atkinson,825,2300,30,Biden
Georgia,Bacon,625,4017,25,Biden
Georgia,Baker,652,897,6,Trump
Georgia,Baldwin,9140,8903,208,Biden
Georgia,Banks,932,7795,74,Biden
Georgia,Barrow,10453,26804,664,Trump
Georgia,Bartow,12091,37672,701,Trump
Georgia,Ben Hill,2393,4111,60,Trump
Georgia,Berrien,1269,6419,55,Trump
Georgia,Bibb,43408,26559,747,Biden
Georgia,Bleckley,1312,4329,67,Trump
Georgia,Brantley,700,6993,56,Biden
Georgia,Brooks,2791,4261,49,Trump
Georgia,Bryan,6738,14240,357,Biden
Georgia,Bulloch,11248,18387,455,Trump
Georgia,Burke,5208,5400,75,Trump
Georgia,Butts,3274,8406,91,Trump
Georgia,Calhoun,1263,923,12,Trump
Georgia,Camden,7967,15249,470,Biden
Georgia,Candler,1269,3133,29,Trump
Georgia,Carroll,16236,37476,760,Trump
Georgia,Catoosa,6932,25167,494,Biden
Georgia,Charlton,1105,3419,44,Trump
Georgia,Chatham,78247,53232,1929,Biden
Georgia,Chattahoochee,667,880,35,Trump
Georgia,Chattooga,1854,8064,132,Trump
Georgia,Cherokee,42779,99585,2451,Trump
Georgia,Clarke,36055,14450,841,Biden
Georgia,Clay,791,637,7,Biden
Georgia,Clayton,95466,15811,1053,Biden
Georgia,Clinch,744,2105,12,Biden
Georgia,Cobb,221847,165436,6445,Biden
Georgia,Coffee,4511,10578,125,Biden
Georgia,Colquitt,4190,11777,119,Biden
Georgia,Columbia,29232,50013,1330,Trump
Georgia,Cook,2059,4900,76,Trump
Georgia,Coweta,24210,51501,1088,Trump
Georgia,Crawford,1615,4428,59,Trump
Georgia,Crisp,2982,4985,66,Trump
Georgia,Dade,1261,6066,107,Trump
Georgia,Dawson,2486,13398,197,Biden
Georgia,Decatur,4782,6755,88,Trump
Georgia,DeKalb,308162,58377,4207,Trump
Georgia,Dodge,2172,5843,56,Trump
Georgia,Dooly,1911,2159,35,Trump
Georgia,Dougherty,24568,10441,278,Biden
Georgia,Douglas,42814,25454,838,Biden
Georgia,Early,2450,2710,28,Trump
